zutat,allergen,agricultural
Agar Agar,0,1
Agavensirup,0,1
Ahornsirup,0,1
Amaranth,0,1
Amaranthsamen,0,1
Ananas,0,1
Ananassaft,0,1
Apfel,0,1
Apfelmus ungezuckert,0,1
Apfelsaft,0,1
Apfelessig,0,1
Appenzeller viertelfett,1,1
Appenzeller vollfett,1,1
Aprikose,0,1
Aubergine,0,1
Avocado,0,1
Balsamicoessig,0,1
Banane,0,1
Basilikum,0,1
Baumnuss,1,1
Baumnussöl,1,1
Birne,0,1
Birnensaft,0,1
Blanc battu nature,1,1
Blumenkohl,0,1
Bohne getrocknet,0,1
Bohne grün,0,1
Bratbutter,1,1
Broccoli,0,1
Brombeere,0,1
Brunnenkresse,0,1
Buchweizen,0,1
Buchweizenmehl,0,1
Buttermilch,1,1
Cashewnuss,1,1
Champignon,0,1
Chia-Samen,0,1
Chicorée,0,1
Chinakohl,0,1
Cicorino rot,0,1
Cornflakes,1,1
Curry,0,1
Dattel getrocknet,0,1
Dinkelmehl,1,1
Dinkelmehl Vollkorn,1,1
Distelöl,0,1
Doppelrahm pasteurisiert,1,1
Dorsch,1,1
Edelkastanie,0,1
Egli,1,1
Eierschwamm,0,1
Eisbergsalat,0,1
Emmentaler,1,1
Endivie,0,1
Erbse,0,1
Erbse grün,0,1
Erdbeere,0,1
Erdnuss,1,1
Erdnuss geröstet gesalzen,1,1
Erdnussöl,1,1
Espresso ungezuckert,0,1
Essig,0,1
Federkohl,0,1
Feige,0,1
Feige getrocknet,0,1
Felche,1,1
Fenchel,0,1
Flunder,1,1
Forelle,1,1
Freiburger Vacherin,1,1
Frischkäse Doppelrahm,1,1
Garnele,1,1
Gerstenflocken,1,1
Glarner Schabziger,1,1
Gorgonzola,1,1
Granatapfel,0,1
Grapefruit,0,1
Greyerzer vollfett,1,1
Gurke,0,1
Haferflocken,1,1
Haferkleie,1,1
Halbentrahmte Milch 1.5% Fett UHT,1,1
Halbfettbutter,1,1
Halbfettquark,1,1
Halbhartkäse vollfett,1,1
Halbrahm,1,1
Halbrahm pasteurisiert,1,1
Halbrahm UHT,1,1
Hanföl,0,1
Hartkäse vollfett,1,1
Hartweizengriess,1,1
Haselnuss,1,1
Haselnussöl,1,1
Hecht,1,1
Hefe,0,1
Heidelbeere,0,1
Heilbutt,1,1
Himbeere,0,1
Hinterschinken,0,1
Hirschfleisch,0,1
Hirse,0,1
Hirseflocken Vollkorn,0,1
Holunderbeere schwarz,0,1
Honigmelone,0,1
Hühnerei ganz,1,1
Hühnereigelb,1,1
Eiweiss,1,1
Joghurt nature,1,1
Johannisbeere rot,0,1
Johannisbeere schwarz,0,1
Kaffee löslich Pulver,0,1
Kaffeerahm,1,1
Kakaobutter,0,1
Kaki,0,1
Kalbfleisch,0,1
Kalmar,1,1
Kaninchen Filet roh,0,1
Kaninchenfleisch,0,1
Karotte,0,1
Kartoffel,0,1
Kartoffelstärke,0,1
Kefe,0,1
Kichererbse,0,1
Kirsche,0,1
Kiwi,0,1
Knoblauch,0,1
Knollensellerie,1,1
Kochbutter,1,1
Kohlrabi,0,1
