biosuisse_hauptgruppe,biosuisse_untergruppe,step_de,step_fr,applies_to,is_default
Milch und Milchprodukte,Genussfertige Kuhmilch,pasteurisiert,pasteurisé,,true
Milch und Milchprodukte,Genussfertige Kuhmilch,bactofugiert,bactofugé,,false
Milch und Milchprodukte,Genussfertige Kuhmilch,doppelbactofugiert,double-bactofugé,,false
Milch und Milchprodukte,Genussfertige Kuhmilch,mikrofiltriert,microfiltré,,false
Milch und Milchprodukte,Genussfertige Kuhmilch,frisch,frais,,false
Milch und Milchprodukte,Produkte aus Milch anderer Säugetierarten,tiefgekühlt,surgelé,,false
Milch und Milchprodukte,"Joghurt und andere gegorene Milcharten (Sauermilch , Kefir)",pasteurisiert,pasteurisé,Milch,false
Milch und Milchprodukte,"Joghurt und andere gegorene Milcharten (Sauermilch , Kefir)",eingedampft,évaporé,Milch,false
Milch und Milchprodukte,"Joghurt und andere gegorene Milcharten (Sauermilch , Kefir)",homogenisiert,homogénéisé,Milch,false
Milch und Milchprodukte,Trockenmilch und Trockenmilchprodukte,Proteingehalt,teneur en protéines,Milch,false
Milch und Milchprodukte,Rahm und Rahmprodukte,pasteurisiert,pasteurisé,Milch,false
Milch und Milchprodukte,Rahm und Rahmprodukte,UHT-erhitzt,traité UHT,Milch,false
Milch und Milchprodukte,"Käse (Frischkäse, gereifter Käse und durch Säure-Hitze-Fällung hergestellte Produkte)",aus thermisierter Milch,à base de lait thermisé,Milch,false
Milch und Milchprodukte,"Käse (Frischkäse, gereifter Käse und durch Säure-Hitze-Fällung hergestellte Produkte)",aus pasteurisierter Milch,à base de lait pasteurisé,Milch,false
Milch und Milchprodukte,"Käse (Frischkäse, gereifter Käse und durch Säure-Hitze-Fällung hergestellte Produkte)",thermisiert,thermisé,Milch,false
Milch und Milchprodukte,"Käse (Frischkäse, gereifter Käse und durch Säure-Hitze-Fällung hergestellte Produkte)",pasteurisiert,pasteurisé,Milch,false
Milch und Milchprodukte,"Butter, Butterzubereitungen und Milchfettfraktionen",thermisiert,thermisé,Rahm,false
Milch und Milchprodukte,"Butter, Butterzubereitungen und Milchfettfraktionen",pasteurisiert,pasteurisé,Rahm,false
Milch und Milchprodukte,"Butter, Butterzubereitungen und Milchfettfraktionen",Wärmebehandlung mit Thermisationseffekt,traitement thermique avec effet de thermisation,Rahm,false
Milch und Milchprodukte,"Butter, Butterzubereitungen und Milchfettfraktionen",Zudosierung von Milchsäurekonzentrat,addition de concentré d'acide lactique,,false
Milch und Milchprodukte,"Butter, Butterzubereitungen und Milchfettfraktionen",enthält tiefgekühlte Butter,contient du beurre surgelé,,false
Milch und Milchprodukte,"Süssspeisen und Desserts (Panna Cotta, Milchreis, Flan, Cremen)",homogenisiert,homogénéisé,Milch,false
Milch und Milchprodukte,"Süssspeisen und Desserts (Panna Cotta, Milchreis, Flan, Cremen)",pasteurisiert,pasteurisé,Milch,false
Milch und Milchprodukte,"Süssspeisen und Desserts (Panna Cotta, Milchreis, Flan, Cremen)",thermisiert,thermisé,Milch,false
Milch und Milchprodukte,"Süssspeisen und Desserts (Panna Cotta, Milchreis, Flan, Cremen)",bactofugiert,bactofugé,Milch,false
Milch und Milchprodukte,"Süssspeisen und Desserts (Panna Cotta, Milchreis, Flan, Cremen)",doppelbactofugiert,double-bactofugé,Milch,false
Milch und Milchprodukte,Speiseeis und Sorbet,homogenisiert,homogénéisé,"Milch, Rahm",false
Milch und Milchprodukte,Speiseeis und Sorbet,pasteurisiert,pasteurisé,"Milch, Rahm",false
Fleisch und Fleischerzeugnisse,,aufgetaut,décongelé,,false
Fleisch und Fleischerzeugnisse,,Umrötung mit Hilfe des Nitrats aus Gemüsepulver,saumurage à l'aide de nitrate provenant de poudre de légumes,,false
Fleisch und Fleischerzeugnisse,,Umrötung durch fermentativ hergestelltes Nitrit,saumurage par nitrite produit par fermentation,,false
Fleisch und Fleischerzeugnisse,,sterilisiert,stérilisé,,false
Fleisch und Fleischerzeugnisse,,Niederdruckseparatorenfleisch,viande séparée mécaniquement basse pression,,false
Insekten und Insektenerzeugnisse,,pasteurisiert,pasteurisé,,false
"Obst, Gemüse, Kräuter, Pilze, Sprossen und Treiberei",Obst- und Gemüseerzeugnisse inkl. Konserven,aus zertifizierter Wildsammlung,issu de cueillette sauvage certifiée,,false
"Obst, Gemüse, Kräuter, Pilze, Sprossen und Treiberei",Obst- und Gemüseerzeugnisse inkl. Konserven,pasteurisiert,pasteurisé,,false
"Obst, Gemüse, Kräuter, Pilze, Sprossen und Treiberei",Obst- und Gemüseerzeugnisse inkl. Konserven,sterilisiert,stérilisé,,false
"Obst, Gemüse, Kräuter, Pilze, Sprossen und Treiberei",Obst- und Gemüsesäfte sowie Nektare und Sirupe,gezuckert,sucré,,false
"Obst, Gemüse, Kräuter, Pilze, Sprossen und Treiberei",Obst- und Gemüsesäfte sowie Nektare und Sirupe,aus zertifizierter Wildsammlung,issu de cueillette sauvage certifiée,,false
"Obst, Gemüse, Kräuter, Pilze, Sprossen und Treiberei",Obst- und Gemüsesäfte sowie Nektare und Sirupe,pasteurisiert,pasteurisé,,false
"Obst, Gemüse, Kräuter, Pilze, Sprossen und Treiberei",Obst- und Gemüsesäfte sowie Nektare und Sirupe,sterilisiert,stérilisé,,false
